globalBinMapping_truthReco.txt
Dataset: SIM
rKey: r02 (R=0.2)

NOTE: global bin indices are the TH2 internal indices returned by TH2::GetBin/FindBin.
      We list ALL bins including ROOT underflow/overflow (bin=0 and bin=nbins+1).

[TRUTH] gTruth = hTruth->GetBin(ptBin, xJBin)
Columns: gTruth  ptBin  xJBin  pT_range  xJ_range
  12  12   0  OVERFLOW  UNDERFLOW
  25  12   1  OVERFLOW  0.00-0.20
  38  12   2  OVERFLOW  0.20-0.24
  51  12   3  OVERFLOW  0.24-0.29
  64  12   4  OVERFLOW  0.29-0.35
  77  12   5  OVERFLOW  0.35-0.41
  90  12   6  OVERFLOW  0.41-0.50
 103  12   7  OVERFLOW  0.50-0.60
 116  12   8  OVERFLOW  0.60-0.72
 129  12   9  OVERFLOW  0.72-0.86
 142  12  10  OVERFLOW  0.86-1.03
 155  12  11  OVERFLOW  1.03-1.24
 168  12  12  OVERFLOW  1.24-1.49
 181  12  13  OVERFLOW  1.49-1.78
 194  12  14  OVERFLOW  1.78-2.14
 207  12  15  OVERFLOW  2.14-3.00
 220  12  16  OVERFLOW  OVERFLOW
